"MESEC";"DAN V MESECU";Živorojeni
"2009M01";"1";47
"2009M01";"2";44
"2009M01";"3";49
"2009M01";"4";48
"2009M01";"5";80
"2009M01";"6";82
"2009M01";"7";71
"2009M01";"8";60
"2009M01";"9";74
"2009M01";"10";50
"2009M01";"11";48
"2009M01";"12";78
"2009M01";"13";65
"2009M01";"14";55
"2009M01";"15";65
"2009M01";"16";70
"2009M01";"17";58
"2009M01";"18";37
"2009M01";"19";75
"2009M01";"20";63
"2009M01";"21";47
"2009M01";"22";63
"2009M01";"23";71
"2009M01";"24";65
"2009M01";"25";62
"2009M01";"26";61
"2009M01";"27";62
"2009M01";"28";46
"2009M01";"29";62
"2009M01";"30";67
"2009M01";"31";54
"2009M02";"1";45
"2009M02";"2";64
"2009M02";"3";73
"2009M02";"4";52
"2009M02";"5";53
"2009M02";"6";64
"2009M02";"7";49
"2009M02";"8";43
"2009M02";"9";61
"2009M02";"10";61
"2009M02";"11";51
"2009M02";"12";65
"2009M02";"13";61
"2009M02";"14";47
"2009M02";"15";55
"2009M02";"16";66
"2009M02";"17";56
"2009M02";"18";55
"2009M02";"19";55
"2009M02";"20";56
"2009M02";"21";49
"2009M02";"22";45
"2009M02";"23";61
"2009M02";"24";46
"2009M02";"25";52
"2009M02";"26";56
"2009M02";"27";58
"2009M02";"28";39
"2009M02";"29";-
"2009M02";"30";-
"2009M02";"31";-
"2009M03";"1";43
"2009M03";"2";62
"2009M03";"3";72
"2009M03";"4";70
"2009M03";"5";64
"2009M03";"6";63
"2009M03";"7";53
"2009M03";"8";44
"2009M03";"9";60
"2009M03";"10";65
"2009M03";"11";44
"2009M03";"12";59
"2009M03";"13";72
"2009M03";"14";48
"2009M03";"15";37
"2009M03";"16";49
"2009M03";"17";52
"2009M03";"18";55
"2009M03";"19";66
"2009M03";"20";62
"2009M03";"21";46
"2009M03";"22";40
"2009M03";"23";60
"2009M03";"24";61
"2009M03";"25";68
"2009M03";"26";49
"2009M03";"27";79
"2009M03";"28";43
"2009M03";"29";49
"2009M03";"30";71
"2009M03";"31";61
"2009M04";"1";50
"2009M04";"2";78
"2009M04";"3";71
"2009M04";"4";41
"2009M04";"5";51
"2009M04";"6";63
"2009M04";"7";65
"2009M04";"8";49
"2009M04";"9";66
"2009M04";"10";64
"2009M04";"11";44
"2009M04";"12";56
"2009M04";"13";47
"2009M04";"14";72
"2009M04";"15";68
"2009M04";"16";57
"2009M04";"17";61
"2009M04";"18";49
"2009M04";"19";58
"2009M04";"20";65
"2009M04";"21";57
"2009M04";"22";55
"2009M04";"23";56
"2009M04";"24";51
"2009M04";"25";52
"2009M04";"26";41
"2009M04";"27";46
"2009M04";"28";68
"2009M04";"29";64
"2009M04";"30";79
"2009M04";"31";-
"2009M05";"1";65
"2009M05";"2";39
"2009M05";"3";55
"2009M05";"4";78
"2009M05";"5";66
"2009M05";"6";67
"2009M05";"7";69
"2009M05";"8";75
"2009M05";"9";68
"2009M05";"10";48
"2009M05";"11";54
"2009M05";"12";64
"2009M05";"13";71
"2009M05";"14";59
"2009M05";"15";66
"2009M05";"16";59
"2009M05";"17";47
"2009M05";"18";65
"2009M05";"19";72
"2009M05";"20";66
"2009M05";"21";83
"2009M05";"22";54
"2009M05";"23";41
"2009M05";"24";52
"2009M05";"25";71
"2009M05";"26";68
"2009M05";"27";75
"2009M05";"28";51
"2009M05";"29";61
"2009M05";"30";54
"2009M05";"31";44
"2009M06";"1";62
"2009M06";"2";65
"2009M06";"3";65
"2009M06";"4";72
"2009M06";"5";61
"2009M06";"6";55
"2009M06";"7";41
"2009M06";"8";59
"2009M06";"9";64
"2009M06";"10";77
"2009M06";"11";57
"2009M06";"12";66
"2009M06";"13";49
"2009M06";"14";33
"2009M06";"15";72
"2009M06";"16";51
"2009M06";"17";65
"2009M06";"18";78
"2009M06";"19";58
"2009M06";"20";53
"2009M06";"21";50
"2009M06";"22";70
"2009M06";"23";69
"2009M06";"24";66
"2009M06";"25";70
"2009M06";"26";88
"2009M06";"27";54
"2009M06";"28";52
"2009M06";"29";66
"2009M06";"30";59
"2009M06";"31";-
"2009M07";"1";71
"2009M07";"2";71
"2009M07";"3";79
"2009M07";"4";50
"2009M07";"5";54
