"STAROSTNE SKUPINE";"IZOBRAZBA MATERE";"LETO";"VRSTNI RED ROJSTVA";Živorojeni
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Prvo rojstvo";30
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Drugo rojstvo";5
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2010";"Tretje rojstvo ali veè";2
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Prvo rojstvo";31
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Drugo rojstvo";2
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2011";"Tretje rojstvo ali veè";1
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Prvo rojstvo";21
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Drugo rojstvo";2
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2012";"Tretje rojstvo ali veè";0
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Prvo rojstvo";18
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Drugo rojstvo";3
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2013";"Tretje rojstvo ali veè";0
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Prvo rojstvo";22
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Drugo rojstvo";5
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2014";"Tretje rojstvo ali veè";1
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Prvo rojstvo";31
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Drugo rojstvo";7
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2015";"Tretje rojstvo ali veè";3
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Prvo rojstvo";35
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Drugo rojstvo";10
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2016";"Tretje rojstvo ali veè";2
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Prvo rojstvo";33
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Drugo rojstvo";12
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2017";"Tretje rojstvo ali veè";0
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Prvo rojstvo";26
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Drugo rojstvo";9
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";"2018";"Tretje rojstvo ali veè";4
"Pod 20 let";"Osnovnošolska";"2010";"Prvo rojstvo";124
"Pod 20 let";"Osnovnošolska";"2010";"Drugo rojstvo";18
"Pod 20 let";"Osnovnošolska";"2010";"Tretje rojstvo ali veè";1
"Pod 20 let";"Osnovnošolska";"2011";"Prvo rojstvo";133
"Pod 20 let";"Osnovnošolska";"2011";"Drugo rojstvo";20
"Pod 20 let";"Osnovnošolska";"2011";"Tretje rojstvo ali veè";2
"Pod 20 let";"Osnovnošolska";"2012";"Prvo rojstvo";127
"Pod 20 let";"Osnovnošolska";"2012";"Drugo rojstvo";27
"Pod 20 let";"Osnovnošolska";"2012";"Tretje rojstvo ali veè";4
"Pod 20 let";"Osnovnošolska";"2013";"Prvo rojstvo";130
"Pod 20 let";"Osnovnošolska";"2013";"Drugo rojstvo";17
"Pod 20 let";"Osnovnošolska";"2013";"Tretje rojstvo ali veè";7
"Pod 20 let";"Osnovnošolska";"2014";"Prvo rojstvo";127
"Pod 20 let";"Osnovnošolska";"2014";"Drugo rojstvo";25
"Pod 20 let";"Osnovnošolska";"2014";"Tretje rojstvo ali veè";3
"Pod 20 let";"Osnovnošolska";"2015";"Prvo rojstvo";107
"Pod 20 let";"Osnovnošolska";"2015";"Drugo rojstvo";9
"Pod 20 let";"Osnovnošolska";"2015";"Tretje rojstvo ali veè";4
"Pod 20 let";"Osnovnošolska";"2016";"Prvo rojstvo";77
"Pod 20 let";"Osnovnošolska";"2016";"Drugo rojstvo";17
"Pod 20 let";"Osnovnošolska";"2016";"Tretje rojstvo ali veè";4
"Pod 20 let";"Osnovnošolska";"2017";"Prvo rojstvo";79
