"LETO";"STAROSTNE SKUPINE";"DRUŽINSKA SKUPNOST, V KATERI JE ROJEN OTROK";"VRSTNI RED ROJSTVA";Živorojeni, rojeni v zakonski zvezi ali zunaj zakonske zveze
"2009";"Pod 15";"Rojeni v zakonski zvezi";"Prvo rojstvo";0
"2009";"Pod 15";"Rojeni v zakonski zvezi";"Drugo rojstvo";0
"2009";"Pod 15";"Rojeni v zakonski zvezi";"Tretje rojstvo";0
"2009";"Pod 15";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2009";"Pod 15";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2009";"Pod 15";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2009";"Pod 15";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";1
"2009";"Pod 15";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";0
"2009";"Pod 15";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";0
"2009";"Pod 15";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";0
"2009";"Pod 15";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2009";"Pod 15";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2009";"15-19";"Rojeni v zakonski zvezi";"Prvo rojstvo";49
"2009";"15-19";"Rojeni v zakonski zvezi";"Drugo rojstvo";8
"2009";"15-19";"Rojeni v zakonski zvezi";"Tretje rojstvo";0
"2009";"15-19";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2009";"15-19";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2009";"15-19";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2009";"15-19";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";205
"2009";"15-19";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";15
"2009";"15-19";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";6
"2009";"15-19";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";0
"2009";"15-19";"Rojeni zunaj zakonske zveze";"Peto rojstvo";0
"2009";"15-19";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";0
"2009";"20-24";"Rojeni v zakonski zvezi";"Prvo rojstvo";598
"2009";"20-24";"Rojeni v zakonski zvezi";"Drugo rojstvo";194
"2009";"20-24";"Rojeni v zakonski zvezi";"Tretje rojstvo";23
"2009";"20-24";"Rojeni v zakonski zvezi";"Èetrto rojstvo";8
"2009";"20-24";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2009";"20-24";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2009";"20-24";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";1461
"2009";"20-24";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";318
"2009";"20-24";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";42
"2009";"20-24";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";9
"2009";"20-24";"Rojeni zunaj zakonske zveze";"Peto rojstvo";1
"2009";"20-24";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";2
"2009";"25-29";"Rojeni v zakonski zvezi";"Prvo rojstvo";1720
"2009";"25-29";"Rojeni v zakonski zvezi";"Drugo rojstvo";1385
"2009";"25-29";"Rojeni v zakonski zvezi";"Tretje rojstvo";302
"2009";"25-29";"Rojeni v zakonski zvezi";"Èetrto rojstvo";38
"2009";"25-29";"Rojeni v zakonski zvezi";"Peto rojstvo";4
"2009";"25-29";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";3
"2009";"25-29";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";2984
"2009";"25-29";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";1252
"2009";"25-29";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";140
"2009";"25-29";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";26
"2009";"25-29";"Rojeni zunaj zakonske zveze";"Peto rojstvo";9
"2009";"25-29";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";5
"2009";"30-34";"Rojeni v zakonski zvezi";"Prvo rojstvo";1072
"2009";"30-34";"Rojeni v zakonski zvezi";"Drugo rojstvo";1893
"2009";"30-34";"Rojeni v zakonski zvezi";"Tretje rojstvo";786
"2009";"30-34";"Rojeni v zakonski zvezi";"Èetrto rojstvo";170
"2009";"30-34";"Rojeni v zakonski zvezi";"Peto rojstvo";41
"2009";"30-34";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";15
"2009";"30-34";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";1835
"2009";"30-34";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";1634
"2009";"30-34";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";296
"2009";"30-34";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";49
"2009";"30-34";"Rojeni zunaj zakonske zveze";"Peto rojstvo";10
"2009";"30-34";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";14
"2009";"35-39";"Rojeni v zakonski zvezi";"Prvo rojstvo";253
"2009";"35-39";"Rojeni v zakonski zvezi";"Drugo rojstvo";578
"2009";"35-39";"Rojeni v zakonski zvezi";"Tretje rojstvo";451
"2009";"35-39";"Rojeni v zakonski zvezi";"Èetrto rojstvo";165
"2009";"35-39";"Rojeni v zakonski zvezi";"Peto rojstvo";43
"2009";"35-39";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";31
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";445
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";552
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";199
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";48
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Peto rojstvo";12
"2009";"35-39";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";9
"2009";"40-44";"Rojeni v zakonski zvezi";"Prvo rojstvo";45
"2009";"40-44";"Rojeni v zakonski zvezi";"Drugo rojstvo";79
"2009";"40-44";"Rojeni v zakonski zvezi";"Tretje rojstvo";57
"2009";"40-44";"Rojeni v zakonski zvezi";"Èetrto rojstvo";36
"2009";"40-44";"Rojeni v zakonski zvezi";"Peto rojstvo";20
"2009";"40-44";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";15
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";62
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";48
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Tretje rojstvo";43
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Èetrto rojstvo";22
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Peto rojstvo";4
"2009";"40-44";"Rojeni zunaj zakonske zveze";"Šesto rojstvo ali veè";4
"2009";"45-49";"Rojeni v zakonski zvezi";"Prvo rojstvo";4
"2009";"45-49";"Rojeni v zakonski zvezi";"Drugo rojstvo";1
"2009";"45-49";"Rojeni v zakonski zvezi";"Tretje rojstvo";2
"2009";"45-49";"Rojeni v zakonski zvezi";"Èetrto rojstvo";0
"2009";"45-49";"Rojeni v zakonski zvezi";"Peto rojstvo";0
"2009";"45-49";"Rojeni v zakonski zvezi";"Šesto rojstvo ali veè";0
"2009";"45-49";"Rojeni zunaj zakonske zveze";"Prvo rojstvo";0
"2009";"45-49";"Rojeni zunaj zakonske zveze";"Drugo rojstvo";3
