"","leto","mesec","dan","rojeni"
"1",2009,1,1,47
"2",2009,1,2,44
"3",2009,1,3,49
"4",2009,1,4,48
"5",2009,1,5,80
"6",2009,1,6,82
"7",2009,1,7,71
"8",2009,1,8,60
"9",2009,1,9,74
"10",2009,1,10,50
"11",2009,1,11,48
"12",2009,1,12,78
"13",2009,1,13,65
"14",2009,1,14,55
"15",2009,1,15,65
"16",2009,1,16,70
"17",2009,1,17,58
"18",2009,1,18,37
"19",2009,1,19,75
"20",2009,1,20,63
"21",2009,1,21,47
"22",2009,1,22,63
"23",2009,1,23,71
"24",2009,1,24,65
"25",2009,1,25,62
"26",2009,1,26,61
"27",2009,1,27,62
"28",2009,1,28,46
"29",2009,1,29,62
"30",2009,1,30,67
"31",2009,1,31,54
"32",2009,2,1,45
"33",2009,2,2,64
"34",2009,2,3,73
"35",2009,2,4,52
"36",2009,2,5,53
"37",2009,2,6,64
"38",2009,2,7,49
"39",2009,2,8,43
"40",2009,2,9,61
"41",2009,2,10,61
"42",2009,2,11,51
"43",2009,2,12,65
"44",2009,2,13,61
"45",2009,2,14,47
"46",2009,2,15,55
"47",2009,2,16,66
"48",2009,2,17,56
"49",2009,2,18,55
"50",2009,2,19,55
"51",2009,2,20,56
"52",2009,2,21,49
"53",2009,2,22,45
"54",2009,2,23,61
"55",2009,2,24,46
"56",2009,2,25,52
"57",2009,2,26,56
"58",2009,2,27,58
"59",2009,2,28,39
"60",2009,3,1,43
"61",2009,3,2,62
"62",2009,3,3,72
"63",2009,3,4,70
"64",2009,3,5,64
"65",2009,3,6,63
"66",2009,3,7,53
"67",2009,3,8,44
"68",2009,3,9,60
"69",2009,3,10,65
"70",2009,3,11,44
"71",2009,3,12,59
"72",2009,3,13,72
"73",2009,3,14,48
"74",2009,3,15,37
"75",2009,3,16,49
"76",2009,3,17,52
"77",2009,3,18,55
"78",2009,3,19,66
"79",2009,3,20,62
"80",2009,3,21,46
"81",2009,3,22,40
"82",2009,3,23,60
"83",2009,3,24,61
"84",2009,3,25,68
"85",2009,3,26,49
"86",2009,3,27,79
"87",2009,3,28,43
"88",2009,3,29,49
"89",2009,3,30,71
"90",2009,3,31,61
"91",2009,4,1,50
"92",2009,4,2,78
"93",2009,4,3,71
"94",2009,4,4,41
"95",2009,4,5,51
"96",2009,4,6,63
"97",2009,4,7,65
"98",2009,4,8,49
"99",2009,4,9,66
"100",2009,4,10,64
"101",2009,4,11,44
"102",2009,4,12,56
"103",2009,4,13,47
"104",2009,4,14,72
"105",2009,4,15,68
"106",2009,4,16,57
"107",2009,4,17,61
"108",2009,4,18,49
"109",2009,4,19,58
"110",2009,4,20,65
"111",2009,4,21,57
"112",2009,4,22,55
"113",2009,4,23,56
"114",2009,4,24,51
"115",2009,4,25,52
"116",2009,4,26,41
"117",2009,4,27,46
"118",2009,4,28,68
"119",2009,4,29,64
"120",2009,4,30,79
"121",2009,5,1,65
"122",2009,5,2,39
"123",2009,5,3,55
"124",2009,5,4,78
"125",2009,5,5,66
"126",2009,5,6,67
"127",2009,5,7,69
"128",2009,5,8,75
"129",2009,5,9,68
"130",2009,5,10,48
"131",2009,5,11,54
"132",2009,5,12,64
