"","leto","mesec","rojeni"
"1",2009,"Januar",1879
"2",2009,"Februar",1538
"3",2009,"Marec",1767
"4",2009,"April",1744
"5",2009,"Maj",1907
"6",2009,"Junij",1847
"7",2009,"Julij",2027
"8",2009,"Avgust",1892
"9",2009,"September",1902
"10",2009,"Oktober",1874
"11",2009,"November",1676
"12",2009,"December",1803
"13",2010,"Januar",1876
"14",2010,"Februar",1712
"15",2010,"Marec",1898
"16",2010,"April",1775
"17",2010,"Maj",1863
"18",2010,"Junij",1844
"19",2010,"Julij",1991
"20",2010,"Avgust",1907
"21",2010,"September",1979
"22",2010,"Oktober",1958
"23",2010,"November",1759
"24",2010,"December",1781
"25",2011,"Januar",1868
"26",2011,"Februar",1603
"27",2011,"Marec",1815
"28",2011,"April",1790
"29",2011,"Maj",1829
"30",2011,"Junij",1794
"31",2011,"Julij",2013
"32",2011,"Avgust",2027
"33",2011,"September",1932
"34",2011,"Oktober",1780
"35",2011,"November",1785
"36",2011,"December",1711
"37",2012,"Januar",1852
"38",2012,"Februar",1670
"39",2012,"Marec",1704
"40",2012,"April",1791
"41",2012,"Maj",1903
"42",2012,"Junij",1758
"43",2012,"Julij",1945
"44",2012,"Avgust",1979
"45",2012,"September",1967
"46",2012,"Oktober",1936
"47",2012,"November",1770
"48",2012,"December",1663
"49",2013,"Januar",1727
"50",2013,"Februar",1495
"51",2013,"Marec",1730
"52",2013,"April",1623
"53",2013,"Maj",1841
"54",2013,"Junij",1752
"55",2013,"Julij",1957
"56",2013,"Avgust",1920
"57",2013,"September",1897
"58",2013,"Oktober",1877
"59",2013,"November",1672
"60",2013,"December",1620
"61",2014,"Januar",1760
"62",2014,"Februar",1532
"63",2014,"Marec",1701
"64",2014,"April",1794
"65",2014,"Maj",1806
"66",2014,"Junij",1767
"67",2014,"Julij",1954
"68",2014,"Avgust",1934
"69",2014,"September",1845
"70",2014,"Oktober",1853
"71",2014,"November",1588
"72",2014,"December",1631
"73",2015,"Januar",1729
"74",2015,"Februar",1560
"75",2015,"Marec",1599
"76",2015,"April",1662
"77",2015,"Maj",1826
"78",2015,"Junij",1802
"79",2015,"Julij",1910
"80",2015,"Avgust",1820
"81",2015,"September",1807
"82",2015,"Oktober",1759
"83",2015,"November",1608
"84",2015,"December",1559
"85",2016,"Januar",1702
"86",2016,"Februar",1529
"87",2016,"Marec",1684
"88",2016,"April",1630
"89",2016,"Maj",1716
"90",2016,"Junij",1710
"91",2016,"Julij",1898
"92",2016,"Avgust",1862
"93",2016,"September",1852
"94",2016,"Oktober",1676
"95",2016,"November",1545
"96",2016,"December",1541
"97",2017,"Januar",1626
"98",2017,"Februar",1503
"99",2017,"Marec",1639
"100",2017,"April",1628
"101",2017,"Maj",1733
"102",2017,"Junij",1751
"103",2017,"Julij",1884
"104",2017,"Avgust",1893
"105",2017,"September",1765
"106",2017,"Oktober",1753
"107",2017,"November",1548
"108",2017,"December",1518
"109",2018,"Januar",1628
"110",2018,"Februar",1464
"111",2018,"Marec",1611
"112",2018,"April",1525
"113",2018,"Maj",1680
"114",2018,"Junij",1680
"115",2018,"Julij",1811
"116",2018,"Avgust",1774
"117",2018,"September",1690
"118",2018,"Oktober",1671
"119",2018,"November",1560
"120",2018,"December",1491
